State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
WV,Jefferson County,10.6,13.8,"67,821"
WV,Kanawha County,16.5,24.8,"44,849"
WV,Lewis County,20.6,27.5,"39,601"
WV,Lincoln County,28.3,36.6,"35,249"
WV,Logan County,22.4,29.9,"35,615"
WV,McDowell County,34.5,46.8,"26,413"
WV,Marion County,16.0,22.1,"43,654"
WV,Marshall County,12.6,20.6,"48,109"
WV,Mason County,22.3,30.2,"35,717"
WV,Mercer County,21.1,29.9,"35,342"
WV,Mineral County,15.4,21.5,"43,159"
WV,Mingo County,29.0,38.7,"31,742"
WV,Monongalia County,19.6,15.5,"46,718"
WV,Monroe County,18.5,24.7,"34,974"
WV,Morgan County,14.1,22.0,"45,628"
WV,Nicholas County,18.5,27.0,"38,912"
WV,Ohio County,14.0,19.5,"46,315"
WV,Pendleton County,16.4,25.7,"40,257"
WV,Pleasants County,15.4,19.8,"48,308"
WV,Pocahontas County,18.9,30.1,"36,822"
WV,Preston County,17.0,23.2,"43,804"
WV,Putnam County,10.4,13.0,"58,933"
WV,Raleigh County,19.9,27.9,"38,564"
WV,Randolph County,19.8,28.4,"37,185"
WV,Ritchie County,18.5,25.6,"39,501"
WV,Roane County,21.1,30.1,"36,176"
WV,Summers County,26.4,35.9,"35,676"
WV,Taylor County,16.2,22.8,"43,652"
WV,Tucker County,17.1,24.1,"38,000"
WV,Tyler County,16.3,23.3,"42,696"
WV,Upshur County,17.3,26.1,"40,766"
WV,Wayne County,22.5,31.1,"35,537"
WV,Webster County,29.6,41.0,"30,673"
WV,Wetzel County,20.0,29.1,"41,833"
WV,Wirt County,17.9,27.0,"42,309"
WV,Wood County,17.3,25.3,"41,133"
WV,Wyoming County,22.5,31.6,"35,020"
WI,Wisconsin,12.1,16.5,"55,623"
WI,Adams County,17.4,29.3,"42,844"
WI,Ashland County,17.2,25.1,"40,163"
WI,Barron County,10.5,17.0,"51,056"
WI,Bayfield County,11.1,20.7,"50,080"
WI,Brown County,11.1,14.4,"56,003"
WI,Buffalo County,10.2,13.5,"53,892"
WI,Burnett County,13.1,22.3,"44,858"
WI,Calumet County,6.2,7.6,"71,298"
WI,Chippewa County,10.8,15.3,"53,209"
WI,Clark County,13.9,21.0,"50,187"
WI,Columbia County,8.9,12.6,"60,837"
WI,Crawford County,14.5,20.6,"44,895"
WI,Dane County,11.2,10.4,"65,416"
WI,Dodge County,8.7,11.7,"56,514"
WI,Door County,8.5,14.5,"55,047"
WI,Douglas County,14.8,20.1,"48,715"
WI,Dunn County,13.5,16.2,"53,082"
WI,Eau Claire County,13.6,15.7,"51,937"
WI,Florence County,12.2,20.2,"46,193"
WI,Fond du Lac County,9.4,12.3,"58,049"
WI,Forest County,14.5,22.3,"44,098"
